"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
1.425916845E0;-5.985504389E-1;-1.460463107E-1;1.032140350E1
1.430861845E0;-5.961562395E-1;-1.915361285E-1;1.031422138E1
1.435806845E0;-6.009446383E-1;-2.274491638E-1;1.029027843E1
1.440750845E0;-6.296750307E-1;-2.873041928E-1;1.026154804E1
1.445695845E0;-6.631938815E-1;-3.184288144E-1;1.018014526E1
1.450640845E0;-6.751648784E-1;-3.184288144E-1;1.011310768E1
1.455585845E0;-6.967126727E-1;-3.040636182E-1;1.001494598E1
1.460530845E0;-6.967126727E-1;-2.753331959E-1;9.969455719E0
1.465475845E0;-7.086837292E-1;-2.106897533E-1;9.904812813E0
1.470419845E0;-6.895300746E-1;-1.436520964E-1;9.844957352E0
1.475364845E0;-6.607996821E-1;-9.576806426E-2;9.818621635E0
1.480309845E0;-6.320692301E-1;-6.224924326E-2;9.792284966E0
1.485254845E0;-5.937620401E-1;-1.436521020E-2;9.770736694E0
1.490199845E0;-5.386953950E-1;9.576806799E-3;9.765948296E0
1.495144845E0;-4.788403511E-1;1.675941236E-2;9.770736694E0
1.500088845E0;-4.572925270E-1;1.915361360E-2;9.794678688E0
1.505007153E0;-4.094084799E-1;4.548983276E-2;9.832986832E0
1.509941768E0;-3.734954596E-1;1.436521020E-2;9.859322548E0
1.514886768E0;-3.806780577E-1;-2.394201700E-3;9.861717224E0
1.519831768E0;-3.782838583E-1;-2.394201607E-2;9.840168953E0
1.524776768E0;-3.567360640E-1;-3.591302410E-2;9.811438560E0
1.529720768E0;-3.471592367E-1;-1.675941236E-2;9.816226959E0
1.534665768E0;-3.734954596E-1;2.154781483E-2;9.818621635E0
1.539610768E0;-4.237737060E-1;3.591302410E-2;9.818621635E0
1.544555768E0;-4.357447028E-1;6.224924326E-2;9.840168953E0
1.549500768E0;-4.596867263E-1;8.140286058E-2;9.852140427E0
1.554445768E0;-4.860229492E-1;6.943184882E-2;9.868899345E0
1.559389768E0;-5.195417404E-1;5.267243832E-2;9.868899345E0
1.564334768E0;-5.267243981E-1;4.548983276E-2;9.883264542E0
1.569270845E0;-5.698199868E-1;2.154781483E-2;9.876082420E0
1.574215845E0;-5.770025849E-1;-1.675941236E-2;9.897629738E0
1.579160845E0;-6.057330370E-1;-3.112462163E-2;9.916783333E0
1.584105845E0;-6.009446383E-1;-4.070143029E-2;9.888052940E0
1.589041230E0;-6.296750307E-1;-7.661445439E-2;9.909601212E0
1.593986230E0;-6.440402865E-1;-7.182604820E-2;9.888052940E0
1.598931230E0;-6.536170840E-1;-8.858546615E-2;9.876082420E0
1.603876230E0;-6.631938815E-1;-9.576806426E-2;9.864110947E0
1.608821230E0;-6.512228847E-1;-7.900865376E-2;9.868899345E0
1.613766230E0;-6.416460276E-1;-5.985504389E-2;9.866505623E0
1.618710230E0;-6.200982332E-1;-5.506663769E-2;9.854534149E0
1.623652807E0;-5.865794420E-1;-4.309562966E-2;9.842563629E0
1.628597807E0;-5.386953950E-1;-2.633621916E-2;9.840168953E0
1.633542807E0;-5.171475410E-1;1.197100803E-2;9.832986832E0
1.638487807E0;-4.548983276E-1;3.830722719E-2;9.852140427E0
1.643432807E0;-4.620809257E-1;8.858546615E-2;9.878476143E0
1.648376807E0;-4.381389022E-1;1.197100878E-1;9.885659218E0
1.653321807E0;-4.453215301E-1;1.484405100E-1;9.919178009E0
1.658266807E0;-4.357447028E-1;1.556231081E-1;9.923966408E0
1.663211807E0;-4.381389022E-1;1.795651317E-1;9.938331604E0
1.668156807E0;-4.381389022E-1;1.915361285E-1;9.950302124E0
1.673085345E0;-4.405331016E-1;1.915361285E-1;9.933543205E0
1.678029345E0;-4.237737060E-1;1.532289088E-1;9.928754807E0
1.682974345E0;-4.285621047E-1;1.268926859E-1;9.890447617E0
1.687919345E0;-4.429273009E-1;6.224924326E-2;9.818621635E0
1.692864345E0;-4.405331016E-1;2.154781483E-2;9.773131371E0
1.697809345E0;-4.572925270E-1;-3.591302410E-2;9.703699112E0
1.702754345E0;-4.740519226E-1;-6.943184882E-2;9.639056206E0
1.707698345E0;-5.027823448E-1;-9.576806426E-2;9.595960617E0
1.712643345E0;-5.410895944E-1;-8.619125932E-2;9.567230225E0
1.717570576E0;-5.746083856E-1;-8.140286058E-2;9.569623947E0
1.722515576E0;-5.937620401E-1;-5.027823523E-2;9.579200745E0
1.727460576E0;-6.081272364E-1;-2.873042040E-2;9.615114212E0
1.732405576E0;-5.985504389E-1;1.675941236E-2;9.686940193E0
1.737349576E0;-5.770025849E-1;4.309562966E-2;9.734824181E0
1.742294576E0;-5.554547906E-1;6.703764945E-2;9.818621635E0
1.747117576E0;-5.243301988E-1;7.422025502E-2;9.921571732E0
1.752184576E0;-4.812345505E-1;9.337386489E-2;9.952696800E0
1.757129576E0;-4.716577232E-1;6.703764945E-2;1.000297451E1
1.762074576E0;-4.836287498E-1;6.703764945E-2;1.004128170E1
1.767011345E0;-4.908113480E-1;4.788403213E-2;1.011550236E1
1.771956345E0;-5.099649429E-1;3.591302410E-2;1.018253994E1
1.776901345E0;-5.578489900E-1;7.182605099E-3;1.021845245E1
1.781846345E0;-6.009446383E-1;-9.576806799E-3;1.027351952E1
1.786791345E0;-6.272808313E-1;-3.351882473E-2;1.028549004E1
1.791736345E0;-6.584054828E-1;-1.053448766E-1;1.029746151E1
1.796680345E0;-6.631938815E-1;-1.484405100E-1;1.031182671E1
1.801625345E0;-6.895300746E-1;-2.035071403E-1;1.032379818E1
1.806570345E0;-6.847416759E-1;-2.298433632E-1;1.028788471E1
1.811515345E0;-6.775590777E-1;-2.394201756E-1;1.025436592E1
1.816460345E0;-6.631938815E-1;-2.370259613E-1;1.021366405E1
1.821404460E0;-6.512228847E-1;-2.274491638E-1;1.018493366E1
1.826348460E0;-6.320692301E-1;-1.939303428E-1;1.013944435E1
1.831284191E0;-6.153098345E-1;-1.316810995E-1;1.007719517E1
1.836229191E0;-5.578489900E-1;-7.661445439E-2;1.006522369E1
1.841174191E0;-5.003881454E-1;-1.675941236E-2;1.000297451E1
1.846119191E0;-4.453215301E-1;1.675941236E-2;9.959878922E0
1.850942191E0;-3.830722570E-1;6.703764945E-2;9.876082420E0
1.856009191E0;-3.567360640E-1;8.140286058E-2;9.832986832E0
1.860953191E0;-3.327940404E-1;1.268926859E-1;9.777919769E0
1.865898191E0;-3.040636182E-1;1.460463107E-1;9.746794701E0
1.870843191E0;-3.327940404E-1;1.508347094E-1;9.710882187E0
1.875788191E0;-3.303998411E-1;1.675941199E-1;9.708487511E0
1.880733191E0;-3.543418646E-1;1.723825186E-1;9.691728592E0
1.885678191E0;-3.375824392E-1;1.388636976E-1;9.655815125E0
1.890622191E0;-3.303998411E-1;8.619125932E-2;9.653421402E0
1.895567191E0;-3.256114423E-1;8.619125932E-2;9.682151794E0
1.900512191E0;-3.519476354E-1;5.506663769E-2;9.722852707E0
1.905457191E0;-3.734954596E-1;7.422025502E-2;9.773131371E0
1.910402191E0;-3.878606856E-1;7.182604820E-2;9.821015358E0
1.915347191E0;-3.878606856E-1;5.746084079E-2;9.873687744E0
1.920291191E0;-3.950432837E-1;5.985504389E-2;9.900024414E0
